"port_code","period","total_number_vessels","total_tonnage_vessels","num_small_vessels","num_medium_vessels","num_large_vessels","num_verylarge_vessels","ton_small_vessels","ton_medium_vessels","ton_large_vessels","ton_verylarge_vessels"
"PTPXO",60,7,53,7,NA,NA,NA,53,NA,NA,NA
"PTSET",60,38,428,19,19,NA,NA,176,252,NA,NA
"PTSIE",60,144,5727,44,39,47,20,339,948,2489,2773
"ROCND",60,156,3855,61,57,38,1,360,1339,2155,103
"SEGVX",60,66,659,42,24,NA,NA,355,304,NA,NA
"SEHEL",60,137,1391,103,34,NA,NA,773,617,NA,NA
"SEMMA",60,21,200,18,3,NA,NA,161,40,NA,NA
"SENRK",60,37,284,25,12,NA,NA,107,177,NA,NA
"SEOXE",60,1,3,1,NA,NA,NA,3,NA,NA,NA
"SESDL",60,9,69,9,NA,NA,NA,69,NA,NA,NA
"SESOE",60,51,216,51,NA,NA,NA,217,NA,NA,NA
"SESTO",60,34,246,29,5,NA,NA,194,52,NA,NA
"SETRG",60,1,4,1,NA,NA,NA,4,NA,NA,NA
"SEUME",60,9,69,9,NA,NA,NA,69,NA,NA,NA
"SEGOT",60,250,4495,182,51,4,14,1346,846,169,2914
"SEHAD",60,27,192,21,6,NA,NA,125,68,NA,NA
"SEVAG",60,12,106,12,NA,NA,NA,106,NA,NA,NA
"SIKOP",60,172,4141,49,87,36,15,253,1834,2053,2254
"TRRIZ",60,1,10,NA,1,NA,NA,NA,10,NA,NA
"TRSSX",60,13,120,7,6,NA,NA,57,63,NA,NA
"TRTZX",60,12,153,5,7,NA,NA,46,107,NA,NA
"TRALI",60,117,2233,26,83,8,13,193,1701,340,1873
"TRAMB",60,481,11678,103,299,69,30,749,5873,3621,4357
"TRAYT",60,25,617,NA,25,NA,NA,NA,617,NA,NA
"TRBDM",60,1,4,1,NA,NA,NA,4,NA,NA,NA
"TRBOT",60,1,4,1,NA,NA,NA,4,NA,NA,NA
"TRGEM",60,261,5328,40,197,24,NA,262,3962,1105,NA
"TRISK",60,13,203,4,9,NA,2,16,187,NA,216
"TRIST",60,93,1504,25,68,NA,NA,196,1309,NA,NA
"TRIZM",60,229,3785,45,184,NA,NA,254,3530,NA,NA
"TRIZT",60,205,4595,38,144,23,30,185,3025,1384,4459
"TRMER",60,251,4959,43,181,27,18,325,3344,1290,2422
"TRTEK",60,12,181,NA,12,NA,15,NA,181,NA,2275
"TRYAL",60,6,106,1,5,NA,NA,7,99,NA,NA
"TR888",60,13,182,5,8,NA,NA,22,160,NA,NA
"GBBEL",60,75,605,63,12,NA,NA,473,132,NA,NA
"GBBRS",60,25,305,13,12,NA,NA,85,220,NA,NA
"GBCDF",60,11,110,11,NA,NA,NA,110,NA,NA,NA
"GBCYP",60,46,424,35,11,NA,NA,249,175,NA,NA
"GBFOR",60,111,608,111,NA,NA,NA,608,NA,NA,NA
"GBFXT",60,570,29206,151,102,249,100,1021,3028,16727,16312
"GBGOO",60,36,75,36,NA,NA,NA,75,NA,NA,NA
"GBGSA",60,1,3,1,NA,NA,NA,3,NA,NA,NA
"GBHRW",60,2,17,2,NA,NA,NA,17,NA,NA,NA
"GBHUL",60,84,447,84,NA,NA,NA,448,NA,NA,NA
"GBIMM",60,12,58,12,NA,NA,NA,58,NA,NA,NA
"GBLIV",60,133,2351,73,49,11,NA,592,1294,467,NA
"GBLON",60,260,6866,112,86,62,71,786,2446,3634,9172
"GBMED",60,86,4080,11,22,53,NA,98,590,3393,NA
"GBMME",60,158,1059,152,6,NA,NA,998,62,NA,NA
"GBNPT",60,12,61,12,NA,NA,NA,61,NA,NA,NA
"GBPME",60,10,103,8,2,NA,NA,78,25,NA,NA
"GBSOU",60,179,11481,52,NA,96,66,328,NA,7356,10688
"GBTYN",60,78,448,78,NA,NA,NA,449,NA,NA,NA
"BEANR",61,1107,43389,227,429,403,173,1873,11019,23975,25054
"BEGNE",61,13,120,11,2,NA,NA,99,21,NA,NA
"BEZEE",61,183,11123,60,29,38,24,459,488,2728,4164
"BGBOJ",61,36,597,3,33,NA,NA,15,582,NA,NA
"BGVAR",61,60,743,21,39,NA,NA,157,585,NA,NA
"CYLMS",61,187,3495,70,86,31,NA,529,1541,1425,NA
"DEBRE",61,12,208,5,7,NA,NA,32,177,NA,NA
"DEBRV",61,1167,38505,278,543,305,81,2093,11962,18310,15076
"DECUX",61,13,115,13,NA,NA,NA,115,NA,NA,NA
"DEHAM",61,1274,45829,461,400,292,189,3327,7219,19826,29230
"DKAAL",61,30,285,19,11,NA,NA,160,125,NA,NA
"DKAAR",61,181,3536,137,31,NA,13,1022,441,NA,2593
"DKCPH",61,106,859,89,17,NA,NA,643,215,NA,NA
"DKEBJ",61,25,132,25,NA,NA,NA,132,NA,NA,NA
"DKFRC",61,68,569,55,13,NA,NA,402,166,NA,NA
"DKKOG",61,13,27,13,NA,NA,NA,27,NA,NA,NA
"EETLL",61,92,987,46,46,NA,NA,335,652,NA,NA
"GRCLK",61,2,11,2,NA,NA,NA,11,NA,NA,NA
"GREEU",61,1,5,1,NA,NA,NA,5,NA,NA,NA
"GRHER",61,10,177,NA,10,NA,NA,NA,177,NA,NA
"GRJSY",61,1,6,1,NA,NA,NA,6,NA,NA,NA
"GRLAV",61,10,101,NA,10,NA,NA,NA,101,NA,NA
"GRPIR",61,583,4245,30,118,5,110,184,2290,248,17711
"GRSKG",61,86,1501,14,70,2,NA,82,1325,93,NA
"GRVOL",61,8,104,1,7,NA,NA,4,100,NA,NA
"ESBIO",61,171,1529,142,29,NA,NA,1106,424,NA,NA
"ESGIJ",61,47,400,47,NA,NA,NA,400,NA,NA,NA
"ESLCG",61,15,106,15,NA,NA,NA,106,NA,NA,NA
"ESMPG",61,32,642,16,5,11,NA,122,63,456,NA
"ESSDR",61,9,78,9,NA,NA,NA,78,NA,NA,NA
"ESVGO",61,133,1698,74,58,1,NA,535,1097,66,NA
"ESVIL",61,15,152,2,13,NA,NA,16,136,NA,NA
"ESAGP",61,214,5010,76,100,34,1,613,1991,1846,140
"ESALC",61,138,1236,105,33,NA,NA,763,473,NA,NA
"ESALG",61,786,26239,97,495,169,72,744,11387,10700,11948
"ESBCN",61,526,18252,154,170,189,60,1081,3324,11870,9039
"ESCAD",61,60,833,31,28,1,NA,206,574,54,NA
"ESCAR",61,63,503,63,NA,NA,NA,503,NA,NA,NA
"ESCAS",61,62,957,33,29,NA,NA,248,709,NA,NA
"ESLEI",61,16,98,13,3,NA,NA,52,46,NA,NA
"ESLPA",61,402,10172,148,164,86,2,1178,3453,5110,221
"ESMOT",61,13,96,13,NA,NA,NA,96,NA,NA,NA
"ESPMI",61,25,277,NA,25,NA,NA,NA,277,NA,NA
"ESSCT",61,151,1450,101,50,NA,NA,816,634,NA,NA
"ESSVQ",61,34,186,34,NA,NA,NA,186,NA,NA,NA
"ESTAR",61,111,2064,65,21,25,NA,391,644,1030,NA
"ESCEU",61,48,313,45,3,NA,NA,236,76,NA,NA
"ESMLN",61,20,176,20,NA,NA,NA,176,NA,NA,NA
"FI002",61,200,2682,49,151,NA,NA,469,2212,NA,NA
"FIHEL",61,189,2417,81,108,NA,NA,700,1716,NA,NA
"FIKEM",61,12,93,12,NA,NA,NA,93,NA,NA,NA
"FIKOK",61,12,67,12,NA,NA,NA,67,NA,NA,NA
"FILOV",61,1,7,1,NA,NA,NA,7,NA,NA,NA
"FIOUL",61,25,167,25,NA,NA,NA,167,NA,NA,NA
"FIPOR",61,11,97,9,2,NA,NA,76,21,NA,NA
"FIRAA",61,14,107,14,NA,NA,NA,107,NA,NA,NA
"FIRAU",61,112,1243,58,54,NA,NA,530,714,NA,NA
"FITKU",61,12,99,12,NA,NA,NA,99,NA,NA,NA
"FITOR",61,14,108,14,NA,NA,NA,108,NA,NA,NA
"FIUKI",61,1,2,1,NA,NA,NA,2,NA,NA,NA
"FRBES",61,34,468,22,12,NA,NA,183,285,NA,NA
"FRBOD",61,24,228,24,NA,NA,NA,228,NA,NA,NA
"FRCER",61,8,26,8,NA,NA,NA,26,NA,NA,NA
"FRDKK",61,112,2977,54,46,1,10,466,1102,75,1640
"FRLEH",61,522,28119,45,201,216,108,375,5410,14269,15145
"FRLRH",61,1,10,1,NA,NA,NA,10,NA,NA,NA
"FRURO",61,49,727,20,22,NA,NA,241,487,NA,NA
"FRMRS",61,286,10486,89,112,72,44,634,2835,5043,6162
"REPDG",61,83,1562,17,55,11,5,133,973,456,543
"HRPLE",61,17,210,9,8,NA,NA,69,141,NA,NA
"HRRJK",61,64,1553,31,21,12,13,248,379,926,2001
"HRSPU",61,11,82,11,NA,NA,NA,83,NA,NA,NA
"IEDUB",61,216,1602,192,24,NA,NA,1288,313,NA,NA
"IEORK",61,86,806,76,10,NA,NA,539,267,NA,NA
"IEWAT",61,25,177,25,NA,NA,NA,177,NA,NA,NA
"IT888",61,1,65,NA,NA,1,1,NA,NA,65,110
"ITAOI",61,81,914,52,29,NA,NA,343,571,NA,NA
"ITAUG",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"ITBRI",61,9,106,6,3,NA,NA,60,46,NA,NA
"ITCAG",61,180,5444,52,69,59,NA,304,1555,3585,NA
"ITCHI",61,1,3,1,NA,NA,NA,3,NA,NA,NA
"ITCTA",61,32,224,20,12,NA,NA,99,124,NA,NA
"ITCVV",61,15,738,1,NA,14,NA,4,NA,734,NA
"ITGIT",61,400,19343,34,174,146,57,253,3872,8470,8709
"ITGOA",61,458,16697,86,175,197,65,617,4225,11855,9135
"ITLIV",61,202,6591,22,112,68,3,112,2718,3760,324
"ITMDC",61,2,11,2,NA,NA,NA,11,NA,NA,NA
"ITNAP",61,165,4926,38,60,67,1,211,1115,3599,108
"ITOTN",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"ITPEM",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"ITPMO",61,9,51,8,1,NA,NA,37,15,NA,NA
"ITPNG",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"ITPZL",61,14,66,14,NA,NA,NA,66,NA,NA,NA
"ITRAN",61,117,2246,24,93,NA,NA,121,2126,NA,NA
"ITSAL",61,76,1116,26,50,NA,NA,156,961,NA,NA
"ITSPE",61,261,11235,33,81,135,36,227,1657,7568,5206
"ITSVN",61,11,230,2,8,1,NA,16,172,42,NA
"ITTAR",61,66,2235,11,31,24,NA,76,483,1675,NA
"ITTPS",61,22,164,13,9,NA,NA,71,93,NA,NA
"ITTRS",61,206,5612,58,104,44,24,268,2395,2950,3685
"ITVCE",61,122,2465,37,76,9,NA,255,1822,389,NA
"LTKLJ",61,149,2014,80,58,11,NA,631,834,549,NA
"LVLPX",61,4,16,4,NA,NA,NA,16,NA,NA,NA
"LVRIX",61,137,1399,89,48,NA,NA,702,698,NA,NA
"MTMAR",61,432,18511,161,129,77,59,949,2990,6072,8117
"MTMLA",61,75,1796,13,62,NA,NA,83,1712,NA,NA
"NLAMS",61,10,163,2,8,NA,NA,6,157,NA,NA
"NLDOR",61,2,9,2,NA,NA,NA,9,NA,NA,NA
"NLMOE",61,16,135,14,2,NA,NA,112,23,NA,NA
"NLRTM",61,1511,48309,744,321,346,299,5231,7585,22254,49063
"NLVLA",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"NLZSP",61,18,145,17,NA,1,NA,93,NA,52,NA
"NO888",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"NOAES",61,89,486,89,NA,NA,NA,486,NA,NA,NA
"NOBGO",61,149,740,148,1,NA,NA,725,14,NA,NA
"NOBOO",61,3,6,3,NA,NA,NA,6,NA,NA,NA
"NOBRE",61,14,42,14,NA,NA,NA,42,NA,NA,NA
"NOBRG",61,72,408,72,NA,NA,NA,409,NA,NA,NA
"NOBRO",61,1,2,1,NA,NA,NA,2,NA,NA,NA
"NODRM",61,8,23,8,NA,NA,NA,22,NA,NA,NA
"NOEGD",61,14,82,14,NA,NA,NA,82,NA,NA,NA
"NOFRO",61,33,159,33,NA,NA,NA,159,NA,NA,NA
"NOGVL",61,39,307,38,1,NA,NA,274,33,NA,NA
"NOHFT",61,1,2,1,NA,NA,NA,2,NA,NA,NA
"NOKAS",61,17,51,17,NA,NA,NA,51,NA,NA,NA
"NOKRS",61,71,510,70,1,NA,NA,500,10,NA,NA
"NOKSU",61,4,9,4,NA,NA,NA,9,NA,NA,NA
"NOLAR",61,55,520,49,6,NA,NA,407,114,NA,NA
"NOMAY",61,72,389,72,NA,NA,NA,390,NA,NA,NA
"NOMOL",61,2,4,2,NA,NA,NA,4,NA,NA,NA
"NOMSS",61,19,141,19,NA,NA,NA,141,NA,NA,NA
"NONVK",61,4,11,4,NA,NA,NA,11,NA,NA,NA
"NOOSL",61,112,859,108,4,NA,NA,816,43,NA,NA
"NORNA",61,11,28,11,NA,NA,NA,28,NA,NA,NA
"NOSVG",61,12,107,12,NA,NA,NA,107,NA,NA,NA
"NOTOS",61,5,10,5,NA,NA,NA,10,NA,NA,NA
"NOTRD",61,2,4,2,NA,NA,NA,4,NA,NA,NA
"PLGDN",61,100,3134,49,38,NA,25,409,621,NA,5267
"PLGDY",61,174,2153,104,58,12,NA,693,845,616,NA
"PLSZZ",61,49,371,49,NA,NA,NA,371,NA,NA,NA
"PTCNL",61,51,316,51,NA,NA,NA,317,NA,NA,NA
"PTFDF",61,12,76,12,NA,NA,NA,76,NA,NA,NA
"PTLEI",61,262,2950,176,86,NA,NA,1362,1589,NA,NA
"PTLIS",61,242,3078,147,95,NA,NA,982,2098,NA,NA
"PTPDL",61,89,477,89,NA,NA,NA,477,NA,NA,NA
"PTPXO",61,10,76,10,NA,NA,NA,76,NA,NA,NA
"PTSET",61,22,262,8,14,NA,NA,77,186,NA,NA
"PTSIE",61,154,6269,41,39,64,20,345,935,3583,2542
"ROCND",61,135,3555,48,51,36,2,336,1164,2056,206
"SEGVX",61,64,669,36,28,NA,NA,304,366,NA,NA
"SEHEL",61,130,1366,98,32,NA,NA,743,623,NA,NA
"SEMMA",61,16,146,15,1,NA,NA,135,11,NA,NA
"SENRK",61,31,255,20,11,NA,NA,87,168,NA,NA
"SEOXE",61,11,44,11,NA,NA,NA,44,NA,NA,NA
"SESDL",61,12,99,12,NA,NA,NA,99,NA,NA,NA
"SESOE",61,56,324,50,6,NA,NA,236,88,NA,NA
"SESTO",61,38,284,38,NA,NA,NA,284,NA,NA,NA
"SEUME",61,12,106,12,NA,NA,NA,106,NA,NA,NA
"SEGOT",61,256,4516,188,53,2,14,1386,970,84,2903
"SEHAD",61,37,230,36,1,NA,NA,220,11,NA,NA
"SEVAG",61,13,115,13,NA,NA,NA,115,NA,NA,NA
"SE88C",61,1,4,1,NA,NA,NA,4,NA,NA,NA
"SIKOP",61,133,3067,43,73,17,13,285,1625,1157,1947
"TRBTN",61,8,76,1,7,NA,NA,3,73,NA,NA
"TRRIZ",61,2,21,NA,2,NA,NA,NA,21,NA,NA
"TRSSX",61,15,130,10,5,NA,NA,79,51,NA,NA
"TRTZX",61,9,122,3,6,NA,NA,29,93,NA,NA
"TRUNY",61,2,8,2,NA,NA,NA,8,NA,NA,NA
"TRALI",61,110,2528,26,64,20,12,193,1326,1009,1729
"TRAMB",61,496,12668,103,297,85,29,748,5770,4474,4262
"TRAYT",61,17,334,NA,17,NA,NA,NA,333,NA,NA
"TRGEM",61,252,5250,47,179,26,NA,343,3709,1199,NA
"TRISK",61,20,453,1,19,NA,3,5,449,NA,324
"TRIST",61,79,1179,29,50,NA,NA,246,934,NA,NA
"TRIZM",61,183,3359,28,154,1,NA,151,3155,53,NA
"TRIZT",61,241,6188,46,159,31,25,252,3445,1727,3761
"TRMER",61,247,4830,43,179,25,17,320,3230,1280,2269
"TRTEK",61,9,114,2,7,NA,16,11,103,NA,2430
"TR888",61,12,93,8,4,NA,NA,40,52,NA,NA
"GB203",61,1,3,1,NA,NA,NA,3,NA,NA,NA
"GBBEL",61,76,614,63,13,NA,NA,472,143,NA,NA
"GBBRS",61,27,342,14,13,NA,NA,103,238,NA,NA
"GBCDF",61,11,110,11,NA,NA,NA,110,NA,NA,NA
"GBCYP",61,43,407,33,10,NA,NA,248,159,NA,NA
"GBFOR",61,124,686,124,NA,NA,NA,686,NA,NA,NA
"GBFXT",61,568,29670,160,61,276,91,1038,1837,17899,14680
"GBGOO",61,3,6,3,NA,NA,NA,6,NA,NA,NA
"GBHRW",61,3,25,3,NA,NA,NA,25,NA,NA,NA
"GBHUL",61,67,356,67,NA,NA,NA,356,NA,NA,NA
"GBIMM",61,11,53,11,NA,NA,NA,53,NA,NA,NA
"GBIPS",61,2,7,2,NA,NA,NA,7,NA,NA,NA
"GBLIV",61,134,2465,70,47,17,NA,574,1164,729,NA
"GBLON",61,260,6588,112,89,59,62,746,2417,3424,8214
"GBMED",61,87,4173,12,23,52,NA,105,654,3413,NA
"GBMME",61,166,1114,158,8,NA,NA,1024,90,NA,NA
"GBNPT",61,11,67,11,NA,NA,NA,68,NA,NA,NA
"GBPME",61,13,146,9,4,NA,NA,90,56,NA,NA
"GBSOU",61,170,10906,50,1,87,58,348,40,6601,9648
"GBTYN",61,82,464,82,NA,NA,NA,464,NA,NA,NA
"BEANR",62,1098,42120,230,422,403,170,1915,10471,23952,24264
"BEGNE",62,14,120,12,2,NA,NA,99,21,NA,NA
"BEZEE",62,173,10526,53,44,26,23,440,741,2280,4052
"BGBOJ",62,37,512,10,27,NA,NA,67,444,NA,NA
"BGVAR",62,63,807,20,43,NA,NA,189,620,NA,NA
"CYLMS",62,214,3975,81,98,35,NA,603,1789,1582,NA
"DEBRE",62,11,172,6,5,NA,NA,47,125,NA,NA
"DEBRV",62,1114,36570,316,464,280,85,2409,9470,16822,15617
"DECUX",62,13,115,13,NA,NA,NA,115,NA,NA,NA
"DEHAM",62,1238,43437,477,369,292,175,3530,6663,20435,27664
"DKAAL",62,26,254,14,12,NA,NA,120,134,NA,NA
"DKAAR",62,184,3665,136,35,NA,13,1039,492,NA,2688
"DKCPH",62,87,740,71,16,NA,NA,523,216,NA,NA
"DKEBJ",62,25,133,25,NA,NA,NA,133,NA,NA,NA
"DKFRC",62,74,664,54,20,NA,NA,396,268,NA,NA
"DKKAL",62,7,73,5,2,NA,NA,50,23,NA,NA
"DKKOG",62,9,18,9,NA,NA,NA,17,NA,NA,NA
"EETLL",62,112,1272,52,60,NA,NA,385,887,NA,NA
"GREEU",62,3,17,3,NA,NA,NA,17,NA,NA,NA
"GRHER",62,11,154,NA,11,NA,NA,NA,154,NA,NA
"GRLAV",62,8,81,NA,8,NA,NA,NA,81,NA,NA
"GRPIR",62,628,4230,36,97,2,97,222,1933,92,15618
"GRRHO",62,1,10,NA,1,NA,NA,NA,10,NA,NA
"GRSKG",62,95,1817,19,67,9,NA,115,1283,418,NA
"GRVOL",62,13,185,NA,13,NA,NA,NA,185,NA,NA
"ESBIO",62,168,1533,141,27,NA,NA,1147,387,NA,NA
"ESFRO",62,1,24,NA,1,NA,NA,NA,24,NA,NA
"ESGIJ",62,52,439,52,NA,NA,NA,439,NA,NA,NA
"ESLCG",62,15,105,15,NA,NA,NA,105,NA,NA,NA
"ESMPG",62,35,708,17,6,12,NA,131,80,497,NA
"ESSDR",62,7,56,7,NA,NA,NA,56,NA,NA,NA
"ESVGO",62,131,1677,71,59,1,1,541,1087,49,119
"ESVIL",62,13,136,NA,13,NA,NA,NA,136,NA,NA
"ESAGP",62,142,4006,53,50,30,NA,411,898,1550,NA
"ESALC",62,135,1163,101,34,NA,NA,717,447,NA,NA
"ESALG",62,777,26826,87,473,182,76,667,10807,10984,12596
"ESBCN",62,551,19436,163,181,183,51,1121,3444,11459,7785
"ESCAD",62,54,774,24,30,NA,NA,166,608,NA,NA
"ESCAR",62,72,566,72,NA,NA,NA,566,NA,NA,NA
"ESCAS",62,82,1320,34,47,1,NA,240,1039,42,NA
"ESHUV",62,1,35,NA,1,NA,NA,NA,35,NA,NA
"ESLEI",62,13,61,13,NA,NA,NA,61,NA,NA,NA
"ESLPA",62,392,9554,144,176,70,1,1164,3777,4396,111
"ESMOT",62,13,98,13,NA,NA,NA,98,NA,NA,NA
"ESPMI",62,23,255,NA,23,NA,NA,NA,255,NA,NA
"ESSCT",62,150,1423,99,51,NA,NA,798,625,NA,NA
"ESSVQ",62,41,250,41,NA,NA,NA,250,NA,NA,NA
"ESTAR",62,94,1572,58,20,16,NA,365,560,647,NA
"ESCEU",62,43,414,37,4,2,NA,202,106,106,NA
"ESMLN",62,18,161,18,NA,NA,NA,162,NA,NA,NA
"FI002",62,189,2567,41,148,NA,NA,382,2185,NA,NA
"FIHEL",62,202,2535,86,116,NA,NA,730,1805,NA,NA
"FIINK",62,1,12,NA,1,NA,NA,NA,12,NA,NA
"FIKEM",62,15,113,15,NA,NA,NA,113,NA,NA,NA
"FIKOK",62,13,66,13,NA,NA,NA,66,NA,NA,NA
"FILOV",62,2,27,1,1,NA,NA,7,20,NA,NA
"FIOUL",62,25,163,25,NA,NA,NA,162,NA,NA,NA
"FIPOR",62,20,193,15,5,NA,NA,131,62,NA,NA
"FIRAA",62,13,100,13,NA,NA,NA,100,NA,NA,NA
"FIRAU",62,96,1099,43,53,NA,NA,380,719,NA,NA
"FITKU",62,14,105,14,NA,NA,NA,105,NA,NA,NA
"FITOR",62,13,100,13,NA,NA,NA,100,NA,NA,NA
"FRBES",62,37,499,25,12,NA,NA,214,285,NA,NA
"FRBOD",62,26,259,26,NA,NA,NA,259,NA,NA,NA
"FRLEH",62,502,29116,40,181,204,84,359,4947,13463,12186
"FRURO",62,41,625,27,14,NA,NA,318,306,NA,NA
"FRMRS",62,300,11811,88,119,73,39,643,3052,5193,5582
"REPDG",62,84,1820,17,52,15,NA,148,1017,656,NA
"HRPLE",62,21,314,1,20,NA,NA,10,304,NA,NA
"HRRJK",62,74,2060,25,30,19,13,197,467,1397,2002
"HRSPU",62,12,133,5,7,NA,NA,48,85,NA,NA
"IEDUB",62,255,1899,230,25,NA,NA,1560,339,NA,NA
"IEGWY",62,1,3,1,NA,NA,NA,3,NA,NA,NA
"IEORK",62,90,892,78,12,NA,NA,571,320,NA,NA
"IEWAT",62,26,185,26,NA,NA,NA,185,NA,NA,NA
"IT888",62,2,34,NA,2,NA,NA,NA,34,NA,NA
"ITAOI",62,104,1228,57,47,NA,NA,374,854,NA,NA
"ITAUG",62,3,113,1,NA,2,NA,8,NA,104,NA
"ITBRI",62,18,196,16,2,NA,NA,159,37,NA,NA
"ITCAG",62,206,5887,64,81,61,NA,357,1679,3851,NA
"ITCHI",62,3,16,3,NA,NA,NA,16,NA,NA,NA
"ITCTA",62,41,349,13,28,NA,NA,60,289,NA,NA
"ITCVV",62,20,979,1,2,17,NA,8,66,905,NA
"ITGIT",62,488,22523,44,232,155,57,407,5074,8920,8735
"ITGOA",62,472,19592,71,175,218,71,499,4385,13813,10002
"ITLIV",62,190,6707,20,97,73,3,115,2459,4133,324
"ITMDC",62,1,6,1,NA,NA,NA,6,NA,NA,NA
"ITMNF",62,2,11,2,NA,NA,NA,11,NA,NA,NA
"ITMSN",62,1,14,NA,1,NA,NA,NA,14,NA,NA
"ITNAP",62,187,6145,29,75,83,3,170,1341,4633,323
"ITPMO",62,9,42,9,NA,NA,NA,42,NA,NA,NA
"ITPOS",62,9,89,9,NA,NA,NA,89,NA,NA,NA
"ITPZL",62,14,72,14,NA,NA,NA,72,NA,NA,NA
"ITRAN",62,126,2280,28,98,NA,NA,119,2162,NA,NA
"ITSAL",62,121,1879,54,67,NA,NA,460,1418,NA,NA
"ITSPE",62,297,13697,44,87,150,40,338,1856,9268,5590
"ITSVN",62,7,116,NA,7,NA,NA,NA,116,NA,NA
"ITTAR",62,82,2967,6,46,30,NA,43,836,2088,NA
"ITTPS",62,25,207,11,14,NA,NA,62,144,NA,NA
"ITTRS",62,203,6104,48,106,49,22,188,2307,3609,3381
"ITVCE",62,120,2065,38,82,NA,NA,257,1808,NA,NA
"LTKLJ",62,179,2273,96,80,3,NA,768,1364,140,NA
"LVLPX",62,2,8,2,NA,NA,NA,8,NA,NA,NA
"LVRIX",62,157,1640,102,55,NA,NA,806,835,NA,NA
"LVVNT",62,2,8,2,NA,NA,NA,8,NA,NA,NA
"MTMAR",62,461,19909,86,223,77,57,584,4072,4950,8038
"MTMLA",62,69,1766,10,59,NA,NA,71,1694,NA,NA
"NLDOR",62,1,5,1,NA,NA,NA,5,NA,NA,NA
"NLDZL",62,1,2,1,NA,NA,NA,2,NA,NA,NA
"NLMOE",62,15,154,6,9,NA,NA,50,104,NA,NA
"NLRTM",62,1593,54559,761,342,378,310,5429,8044,25600,50700
"NLZSP",62,21,125,21,NA,NA,NA,124,NA,NA,NA
"NO888",62,6,22,6,NA,NA,NA,22,NA,NA,NA
"NOAES",62,98,514,98,NA,NA,NA,515,NA,NA,NA
"NOBGO",62,146,718,146,NA,NA,NA,719,NA,NA,NA
"NOBOO",62,21,45,21,NA,NA,NA,45,NA,NA,NA
"NOBRE",62,20,53,20,NA,NA,NA,54,NA,NA,NA
"NOBRG",62,71,425,71,NA,NA,NA,425,NA,NA,NA
"NOBRO",62,2,4,2,NA,NA,NA,4,NA,NA,NA
"NODRM",62,10,29,10,NA,NA,NA,29,NA,NA,NA
"NOEGD",62,12,40,12,NA,NA,NA,41,NA,NA,NA
"NOFRO",62,41,182,41,NA,NA,NA,182,NA,NA,NA
"NOGVL",62,40,346,38,2,NA,NA,281,65,NA,NA
"NOHFT",62,8,7,8,NA,NA,NA,6,NA,NA,NA
"NOKAS",62,25,62,25,NA,NA,NA,62,NA,NA,NA
"NOKRS",62,71,520,71,NA,NA,NA,520,NA,NA,NA
"NOKSU",62,12,26,12,NA,NA,NA,26,NA,NA,NA
"NOLAR",62,55,538,46,9,NA,NA,402,136,NA,NA
"NOMAY",62,72,614,69,NA,3,NA,363,NA,251,NA
"NOMOL",62,3,6,3,NA,NA,NA,6,NA,NA,NA
"NOMSS",62,6,44,6,NA,NA,NA,44,NA,NA,NA
"NONVK",62,4,11,4,NA,NA,NA,11,NA,NA,NA
"NOOSL",62,100,767,99,1,NA,NA,755,11,NA,NA
"NORNA",62,8,20,8,NA,NA,NA,20,NA,NA,NA
"NOSVG",62,24,177,24,NA,NA,NA,178,NA,NA,NA
"NOTOS",62,6,13,6,NA,NA,NA,13,NA,NA,NA
"NOTRD",62,6,13,6,NA,NA,NA,13,NA,NA,NA
"NOVER",62,1,2,1,NA,NA,NA,2,NA,NA,NA
"PLGDN",62,107,3266,38,56,NA,23,314,848,NA,4764
"PLGDY",62,174,1922,109,62,3,NA,723,1061,140,NA
"PLSZZ",62,51,356,51,NA,NA,NA,356,NA,NA,NA
"PTCNL",62,51,318,51,NA,NA,NA,318,NA,NA,NA
"PTFDF",62,15,93,15,NA,NA,NA,93,NA,NA,NA
"PTFNC",62,1,74,NA,NA,1,NA,NA,NA,74,NA
"PTLEI",62,279,3200,182,97,NA,NA,1428,1773,NA,NA
"PTLIS",62,276,3594,168,99,9,NA,1144,2068,381,NA
"PTPDL",62,84,457,84,NA,NA,NA,457,NA,NA,NA
"PTPXO",62,6,45,6,NA,NA,NA,45,NA,NA,NA
"PTSET",62,22,286,4,18,NA,NA,36,250,NA,NA
"PTSIE",62,167,6997,39,47,68,30,353,1135,3665,4123
"ROCND",62,179,4284,71,69,39,1,479,1238,2567,103
"ROMID",62,1,3,1,NA,NA,NA,3,NA,NA,NA
"SEGVX",62,68,747,41,27,NA,NA,351,396,NA,NA
"SEHEL",62,128,1337,101,27,NA,NA,778,559,NA,NA
"SEMMA",62,16,131,16,NA,NA,NA,131,NA,NA,NA
"SENRK",62,36,311,23,13,NA,NA,115,195,NA,NA
"SESDL",62,13,117,12,1,NA,NA,107,11,NA,NA
"SESOE",62,58,447,43,15,NA,NA,226,221,NA,NA
